;;;;;;;;;Battle;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of Exp3:;
;;;;;;;;;;;;;
Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;23/05/2014_22.33;;;23/05/2014_22.33;
version:;GGP_MCTS47;;;;;;;; Overall win loss stats;;; Overall win loss stats;
Thinking time per move:;2.5s;;;;;;;; Games played;1000;; Games played;1000
gogeneral;;;;;;;;; Mean;1;; Mean;0
;;;;;;;;; Wins;1000;; Wins;0
;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;; Losses;0;; Losses;1000
;;;;;;;;; Conf. interval binomial formula based;0;; Conf. interval binomial formula based;0
;;;;;;;;; Conf.interval 95% with n;0;; Conf.interval 95% with n;0
;;;;;;;;; Conf.interval 95% with n-1;0;; Conf.interval 95% with n-1;0
;;;;;;;;;;;;;
;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of Exp3:;
;;;;;;;;;04/04/2014_18.32;;;04/04/2014_18.32;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.627;; Mean;0.373
;;;;;;;;; Wins;591;; Wins;337
;;;;;;;;; Draws;72;; Draws;72
;;;;;;;;; Losses;337;; Losses;591
;;;;;;;;; Conf. interval binomial formula based;0.029973969;; Conf. interval binomial formula based;0.029973969
;;;;;;;;; Conf.interval 95% with n;0.028797396;; Conf.interval 95% with n;0.028797396
;;;;;;;;; Conf.interval 95% with n-1;0.028811806;; Conf.interval 95% with n-1;0.028811806
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Chinook;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of Exp3:;
;;;;;;;;;05/04/2014_02.54;;;05/04/2014_02.54;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.9255;; Mean;0.0745
;;;;;;;;; Wins;920;; Wins;69
;;;;;;;;; Draws;11;; Draws;11
;;;;;;;;; Losses;69;; Losses;920
;;;;;;;;; Conf. interval binomial formula based;0.016275053;; Conf. interval binomial formula based;0.016275053
;;;;;;;;; Conf.interval 95% with n;0.015947193;; Conf.interval 95% with n;0.015947193
;;;;;;;;; Conf.interval 95% with n-1;0.015955172;; Conf.interval 95% with n-1;0.015955172
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Goofspiel;;;;
;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view  of Exp3;
;;;;;;;;;04/04/2014_19.58;;;04/04/2014_19.58;
