;;;;;;;;;;;;Battle;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;;;;;;;;
version:;GGP_MCTS47;;;;;;;;;;;23/05/2014_22.36;;;23/05/2014_22.36;
Thinking time per move:;2.5s;;;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
gogeneral;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.999;; Mean;0.001
;;;;;;;;;;;; Wins;999;; Wins;1
;;;;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;;;;; Losses;1;; Losses;999
;;;;;;;;;;;; Conf. interval binomial formula based;0.00195902;; Conf. interval binomial formula based;0.00195902
;;;;;;;;;;;; Conf.interval 95% with n;0.00195902;; Conf.interval 95% with n;0.00195902
;;;;;;;;;;;; Conf.interval 95% with n-1;0.00196;; Conf.interval 95% with n-1;0.00196
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;04/04/2014_18.23;;;04/04/2014_18.23;
;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.5175;; Mean;0.4825
;;;;;;;;;;;; Wins;491;; Wins;456
;;;;;;;;;;;; Draws;53;; Draws;53
;;;;;;;;;;;; Losses;456;; Losses;491
;;;;;;;;;;;; Conf. interval binomial formula based;0.030971334;; Conf. interval binomial formula based;0.030971334
;;;;;;;;;;;; Conf.interval 95% with n;0.030138386;; Conf.interval 95% with n;0.030138386
;;;;;;;;;;;; Conf.interval 95% with n-1;0.030153466;; Conf.interval 95% with n-1;0.030153466
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Chinook;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;04/04/2014_23.32;;;04/04/2014_23.32;
;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.996;; Mean;0.004
;;;;;;;;;;;; Wins;996;; Wins;4
;;;;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;;;;; Losses;4;; Losses;996
;;;;;;;;;;;; Conf. interval binomial formula based;0.003912152;; Conf. interval binomial formula based;0.003912152
;;;;;;;;;;;; Conf.interval 95% with n;0.003912152;; Conf.interval 95% with n;0.003912152
;;;;;;;;;;;; Conf.interval 95% with n-1;0.00391411;; Conf.interval 95% with n-1;0.00391411
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;Goofspiel;;;;
;;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of RegretMatching:;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;04/04/2014_20.18;;;04/04/2014_20.18;
;;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;;; Mean;0.0525;; Mean;0.9475
;;;;;;;;;;;; Wins;49;; Wins;944
;;;;;;;;;;;; Draws;7;; Draws;7
