Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;;;Battle;;;;
version:;GGP_MCTS47;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
Thinking time per move:;2.5s;;;;;;;;;;;;;;
gogeneral;;;;;;;;;;;24/05/2014_04.08;;;24/05/2014_04.08;
;;;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.596;; Mean;0.404
;;;;;;;;;;; Wins;418;; Wins;226
;;;;;;;;;;; Draws;356;; Draws;356
;;;;;;;;;;; Losses;226;; Losses;418
;;;;;;;;;;; Conf. interval binomial formula based;0.030413744;; Conf. interval binomial formula based;0.030413744
;;;;;;;;;;; Conf.interval 95% with n;0.024147327;; Conf.interval 95% with n;0.024147327
;;;;;;;;;;; Conf.interval 95% with n-1;0.02415941;; Conf.interval 95% with n-1;0.02415941
;;;;;;;;;;;;;;;
;;;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;04/04/2014_18.41;;;04/04/2014_18.41;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.4905;; Mean;0.5095
;;;;;;;;;;; Wins;433;; Wins;452
;;;;;;;;;;; Draws;115;; Draws;115
;;;;;;;;;;; Losses;452;; Losses;433
;;;;;;;;;;; Conf. interval binomial formula based;0.030984727;; Conf. interval binomial formula based;0.030984727
;;;;;;;;;;; Conf.interval 95% with n;0.029148024;; Conf.interval 95% with n;0.029148024
;;;;;;;;;;; Conf.interval 95% with n-1;0.029162609;; Conf.interval 95% with n-1;0.029162609
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;Chinook;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;05/04/2014_06.40;;;05/04/2014_06.40;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.684;; Mean;0.316
;;;;;;;;;;; Wins;677;; Wins;309
;;;;;;;;;;; Draws;14;; Draws;14
;;;;;;;;;;; Losses;309;; Losses;677
;;;;;;;;;;; Conf. interval binomial formula based;0.0288156;; Conf. interval binomial formula based;0.0288156
;;;;;;;;;;; Conf.interval 95% with n;0.028581343;; Conf.interval 95% with n;0.028581343
;;;;;;;;;;; Conf.interval 95% with n-1;0.028595645;; Conf.interval 95% with n-1;0.028595645
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;Goofspiel;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;04/04/2014_20.12;;;04/04/2014_20.12;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.7585;; Mean;0.2415
;;;;;;;;;;; Wins;680;; Wins;163
;;;;;;;;;;; Draws;157;; Draws;157
;;;;;;;;;;; Losses;163;; Losses;680
;;;;;;;;;;; Conf. interval binomial formula based;0.026527262;; Conf. interval binomial formula based;0.026527262
;;;;;;;;;;; Conf.interval 95% with n;0.023514099;; Conf.interval 95% with n;0.023514099
;;;;;;;;;;; Conf.interval 95% with n-1;0.023525865;; Conf.interval 95% with n-1;0.023525865
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;OshiZumo;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;04/04/2014_20.18;;;04/04/2014_20.18;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.785;; Mean;0.215
;;;;;;;;;;; Wins;662;; Wins;92
;;;;;;;;;;; Draws;246;; Draws;246
;;;;;;;;;;; Losses;92;; Losses;662
;;;;;;;;;;; Conf. interval binomial formula based;0.025463033;; Conf. interval binomial formula based;0.025463033
;;;;;;;;;;; Conf.interval 95% with n;0.020300434;; Conf.interval 95% with n;0.020300434
;;;;;;;;;;; Conf.interval 95% with n-1;0.020310592;; Conf.interval 95% with n-1;0.020310592
;;;;;;;;;;;;;;;
;;;;;;;;;;;PawnWhopping;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/05/2014_21.50;;;06/05/2014_21.50;
;;;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.499;; Mean;0.501
;;;;;;;;;;; Wins;0;; Wins;2
;;;;;;;;;;; Draws;998;; Draws;998
;;;;;;;;;;; Losses;2;; Losses;0
;;;;;;;;;;; Conf. interval binomial formula based;0.030990259;; Conf. interval binomial formula based;0.030990259
;;;;;;;;;;; Conf.interval 95% with n;0.001384543;; Conf.interval 95% with n;0.001384543
;;;;;;;;;;; Conf.interval 95% with n-1;0.001385235;; Conf.interval 95% with n-1;0.001385235
;;;;;;;;;;;RacetrackCorridor;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;04/04/2014_15.00;;;04/04/2014_15.00;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.463;; Mean;0.537
;;;;;;;;;;; Wins;28;; Wins;102
;;;;;;;;;;; Draws;870;; Draws;870
;;;;;;;;;;; Losses;102;; Losses;28
;;;;;;;;;;; Conf. interval binomial formula based;0.030905353;; Conf. interval binomial formula based;0.030905353
;;;;;;;;;;; Conf.interval 95% with n;0.010935852;; Conf.interval 95% with n;0.010935852
;;;;;;;;;;; Conf.interval 95% with n-1;0.010941324;; Conf.interval 95% with n-1;0.010941324
;;;;;;;;;;;;;;;
;;;;;;;;;;;Runners;;;;
;;;;;;;;;;;Results in point of view of DUCB1T:;;;Results in point of view of SeqUCTDefensive:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;05/04/2014_07.35;;;05/04/2014_07.35;
