Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;;;Battle;;;;
version:;GGP_MCTS47;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
Thinking time per move:;2.5s;;;;;;;;;;;;;;
gogeneral;;;;;;;;;;;24/05/2014_05.06;;;24/05/2014_05.06;
;;;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.487;; Mean;0.513
;;;;;;;;;;; Wins;249;; Wins;275
;;;;;;;;;;; Draws;476;; Draws;476
;;;;;;;;;;; Losses;275;; Losses;249
;;;;;;;;;;; Conf. interval binomial formula based;0.030979845;; Conf. interval binomial formula based;0.030979845
;;;;;;;;;;; Conf.interval 95% with n;0.02241875;; Conf.interval 95% with n;0.02241875
;;;;;;;;;;; Conf.interval 95% with n-1;0.022429968;; Conf.interval 95% with n-1;0.022429968
;;;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/04/2014_05.06;;;06/04/2014_05.06;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.4875;; Mean;0.5125
;;;;;;;;;;; Wins;427;; Wins;452
;;;;;;;;;;; Draws;121;; Draws;121
;;;;;;;;;;; Losses;452;; Losses;427
;;;;;;;;;;; Conf. interval binomial formula based;0.030980635;; Conf. interval binomial formula based;0.030980635
;;;;;;;;;;; Conf.interval 95% with n;0.029044644;; Conf.interval 95% with n;0.029044644
;;;;;;;;;;; Conf.interval 95% with n-1;0.029059177;; Conf.interval 95% with n-1;0.029059177
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;Chinook;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/04/2014_16.54;;;06/04/2014_16.54;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.457;; Mean;0.543
;;;;;;;;;;; Wins;445;; Wins;531
;;;;;;;;;;; Draws;24;; Draws;24
;;;;;;;;;;; Losses;531;; Losses;445
;;;;;;;;;;; Conf. interval binomial formula based;0.030875506;; Conf. interval binomial formula based;0.030875506
;;;;;;;;;;; Conf.interval 95% with n;0.030499955;; Conf.interval 95% with n;0.030499955
;;;;;;;;;;; Conf.interval 95% with n-1;0.030515217;; Conf.interval 95% with n-1;0.030515217
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;Goofspiel;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/04/2014_06.28;;;06/04/2014_06.28;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.5045;; Mean;0.4955
;;;;;;;;;;; Wins;198;; Wins;189
;;;;;;;;;;; Draws;613;; Draws;613
;;;;;;;;;;; Losses;189;; Losses;198
;;;;;;;;;;; Conf. interval binomial formula based;0.030989066;; Conf. interval binomial formula based;0.030989066
;;;;;;;;;;; Conf.interval 95% with n;0.019276852;; Conf.interval 95% with n;0.019276852
;;;;;;;;;;; Conf.interval 95% with n-1;0.019286497;; Conf.interval 95% with n-1;0.019286497
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;OshiZumo;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/04/2014_06.59;;;06/04/2014_06.59;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.508;; Mean;0.492
;;;;;;;;;;; Wins;250;; Wins;234
;;;;;;;;;;; Draws;516;; Draws;516
;;;;;;;;;;; Losses;234;; Losses;250
;;;;;;;;;;; Conf. interval binomial formula based;0.030986354;; Conf. interval binomial formula based;0.030986354
;;;;;;;;;;; Conf.interval 95% with n;0.021554297;; Conf.interval 95% with n;0.021554297
;;;;;;;;;;; Conf.interval 95% with n-1;0.021565083;; Conf.interval 95% with n-1;0.021565083
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;PawnWhopping;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/05/2014_22.01;;;06/05/2014_22.01;
;;;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.5005;; Mean;0.4995
;;;;;;;;;;; Wins;2;; Wins;1
;;;;;;;;;;; Draws;997;; Draws;997
;;;;;;;;;;; Losses;1;; Losses;2
;;;;;;;;;;; Conf. interval binomial formula based;0.030990306;; Conf. interval binomial formula based;0.030990306
;;;;;;;;;;; Conf.interval 95% with n;0.001697127;; Conf.interval 95% with n;0.001697127
;;;;;;;;;;; Conf.interval 95% with n-1;0.001697976;; Conf.interval 95% with n-1;0.001697976
;;;;;;;;;;;;;;;
;;;;;;;;;;;RacetrackCorridor;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/04/2014_01.30;;;06/04/2014_01.30;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.509;; Mean;0.491
;;;;;;;;;;; Wins;28;; Wins;10
;;;;;;;;;;; Draws;962;; Draws;962
;;;;;;;;;;; Losses;10;; Losses;28
;;;;;;;;;;; Conf. interval binomial formula based;0.0309853;; Conf. interval binomial formula based;0.0309853
;;;;;;;;;;; Conf.interval 95% with n;0.006015316;; Conf.interval 95% with n;0.006015316
;;;;;;;;;;; Conf.interval 95% with n-1;0.006018326;; Conf.interval 95% with n-1;0.006018326
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;Runners;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;05/04/2014_07.41;;;05/04/2014_07.41;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.5275;; Mean;0.4725
;;;;;;;;;;; Wins;512;; Wins;457
;;;;;;;;;;; Draws;31;; Draws;31
;;;;;;;;;;; Losses;457;; Losses;512
;;;;;;;;;;; Conf. interval binomial formula based;0.030943413;; Conf. interval binomial formula based;0.030943413
;;;;;;;;;;; Conf.interval 95% with n;0.030458536;; Conf.interval 95% with n;0.030458536
;;;;;;;;;;; Conf.interval 95% with n-1;0.030473776;; Conf.interval 95% with n-1;0.030473776
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;Tron;;;;
;;;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of DUCB1T:;
;;;;;;;;;;;;;;;
;;;;;;;;;;;06/04/2014_03.17;;;06/04/2014_03.17;
;;;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;;;; Mean;0.471;; Mean;0.529
;;;;;;;;;;; Wins;260;; Wins;318
;;;;;;;;;;; Draws;422;; Draws;422
;;;;;;;;;;; Losses;318;; Losses;260
;;;;;;;;;;; Conf. interval binomial formula based;0.030938151;; Conf. interval binomial formula based;0.030938151
;;;;;;;;;;; Conf.interval 95% with n;0.023492135;; Conf.interval 95% with n;0.023492135
;;;;;;;;;;; Conf.interval 95% with n-1;0.02350389;; Conf.interval 95% with n-1;0.02350389
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
