Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;Battle;;;;
version:;GGP_MCTS46;;;;;;Results in point of view of DuctMax:;;;Results in point of view of Exp3:;
Thinking time per move:;2.5s;;;;;;;;;;
gogeneral;;;;;;;23/05/2014_22.40;;;23/05/2014_22.40;
;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;; Games played;1000;; Games played;1000
;;;;;;; Mean;1;; Mean;0
;;;;;;; Wins;1000;; Wins;0
;;;;;;; Draws;0;; Draws;0
;;;;;;; Losses;0;; Losses;1000
;;;;;;; Conf. interval binomial formula based;0;; Conf. interval binomial formula based;0
;;;;;;; Conf.interval 95% with n;0;; Conf.interval 95% with n;0
;;;;;;; Conf.interval 95% with n-1;0;; Conf.interval 95% with n-1;0
;;;;;;;BiddingTicTacToe;;;;
;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of Exp3:;
;;;;;;;;;;;
;;;;;;;25/03/2014_17.29;;;25/03/2014_17.29;
;;;;;;; Games played;1000;; Games played;1000
;;;;;;; Mean;0.6145;; Mean;0.3855
;;;;;;; Wins;579;; Wins;350
;;;;;;; Draws;71;; Draws;71
;;;;;;; Losses;350;; Losses;579
;;;;;;; Conf. interval binomial formula based;0.030166797;; Conf. interval binomial formula based;0.030166797
;;;;;;; Conf.interval 95% with n;0.029014604;; Conf.interval 95% with n;0.029014604
;;;;;;; Conf.interval 95% with n-1;0.029029123;; Conf.interval 95% with n-1;0.029029123
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;Chinook;;;;
;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of Exp3:;
;;;;;;;;;;;
;;;;;;;26/03/2014_02.11;;;26/03/2014_02.11;
;;;;;;; Games played;1000;; Games played;1000
;;;;;;; Mean;0.9175;; Mean;0.0825
;;;;;;; Wins;913;; Wins;78
;;;;;;; Draws;9;; Draws;9
;;;;;;; Losses;78;; Losses;913
;;;;;;; Conf. interval binomial formula based;0.017052422;; Conf. interval binomial formula based;0.017052422
;;;;;;; Conf.interval 95% with n;0.016797068;; Conf.interval 95% with n;0.016797068
;;;;;;; Conf.interval 95% with n-1;0.016805473;; Conf.interval 95% with n-1;0.016805473
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;Goofspiel;;;;
;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of Exp3:;
;;;;;;;;;;;
;;;;;;;25/03/2014_18.56;;;25/03/2014_18.56;
;;;;;;; Games played;1000;; Games played;1000
;;;;;;; Mean;0.5015;; Mean;0.4985
;;;;;;; Wins;336;; Wins;333
;;;;;;; Draws;331;; Draws;331
;;;;;;; Losses;333;; Losses;336
;;;;;;; Conf. interval binomial formula based;0.030990182;; Conf. interval binomial formula based;0.030990182
;;;;;;; Conf.interval 95% with n;0.025347563;; Conf.interval 95% with n;0.025347563
;;;;;;; Conf.interval 95% with n-1;0.025360246;; Conf.interval 95% with n-1;0.025360246
;;;;;;;;;;;
;;;;;;;;;;;
