Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;;;;;
version:;GGP_MCTS46;;;;;;;;;;;;
Thinking time per move:;2.5s;;;;;;;;Battle;;;;
gogeneral;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;;
;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;1;; Mean;0
;;;;;;;;; Wins;1000;; Wins;0
;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;; Losses;0;; Losses;1000
;;;;;;;;; Conf. interval binomial formula based;0;; Conf. interval binomial formula based;0
;;;;;;;;; Conf.interval 95% with n;0;; Conf.interval 95% with n;0
;;;;;;;;; Conf.interval 95% with n-1;0;; Conf.interval 95% with n-1;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;;
;;;;;;;;;26/03/2014_18.34;;;26/03/2014_18.34;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.5215;; Mean;0.4785
;;;;;;;;; Wins;493;; Wins;450
;;;;;;;;; Draws;57;; Draws;57
;;;;;;;;; Losses;450;; Losses;493
;;;;;;;;; Conf. interval binomial formula based;0.030961657;; Conf. interval binomial formula based;0.030961657
;;;;;;;;; Conf.interval 95% with n;0.030064621;; Conf.interval 95% with n;0.030064621
;;;;;;;;; Conf.interval 95% with n-1;0.030079664;; Conf.interval 95% with n-1;0.030079664
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Chinook;;;;
;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;;
;;;;;;;;;26/03/2014_23.49;;;26/03/2014_23.49;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.994;; Mean;0.006
;;;;;;;;; Wins;994;; Wins;6
;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;; Losses;6;; Losses;994
;;;;;;;;; Conf. interval binomial formula based;0.004786575;; Conf. interval binomial formula based;0.004786575
;;;;;;;;; Conf.interval 95% with n;0.004786575;; Conf.interval 95% with n;0.004786575
;;;;;;;;; Conf.interval 95% with n-1;0.00478897;; Conf.interval 95% with n-1;0.00478897
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Goofspiel;;;;
;;;;;;;;;Results in point of view of DuctMax:;;;Results in point of view of RegretMatching;
