Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;Battle;;;;
version:;GGP_MCTS46;;;;;;;Results in point of view of Exp3:;;;Results in point of view of RegretMatching;
Thinking time per move:;2.5s;;;;;;;;;;;
gogeneral;;;;;;;;24/05/2014_09.24;;;24/05/2014_09.24;
;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;; Mean;0.4225;; Mean;0.5775
;;;;;;;; Wins;338;; Wins;493
;;;;;;;; Draws;169;; Draws;169
;;;;;;;; Losses;493;; Losses;338
;;;;;;;; Conf. interval binomial formula based;0.030615787;; Conf. interval binomial formula based;0.030615787
;;;;;;;; Conf.interval 95% with n;0.027839159;; Conf.interval 95% with n;0.027839159
;;;;;;;; Conf.interval 95% with n-1;0.027853089;; Conf.interval 95% with n-1;0.027853089
;;;;;;;;;;;;
;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;
;;;;;;;;27/03/2014_17.51;;;27/03/2014_17.51;
;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;; Mean;0.4565;; Mean;0.5435
;;;;;;;; Wins;442;; Wins;529
;;;;;;;; Draws;29;; Draws;29
;;;;;;;; Losses;529;; Losses;442
;;;;;;;; Conf. interval binomial formula based;0.030872815;; Conf. interval binomial formula based;0.030872815
;;;;;;;; Conf.interval 95% with n;0.030418401;; Conf.interval 95% with n;0.030418401
;;;;;;;; Conf.interval 95% with n-1;0.030433622;; Conf.interval 95% with n-1;0.030433622
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;Chinook;;;;
;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;
;;;;;;;;28/03/2014_00.26;;;28/03/2014_00.26;
;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;; Mean;0.8945;; Mean;0.1055
;;;;;;;; Wins;894;; Wins;105
;;;;;;;; Draws;1;; Draws;1
;;;;;;;; Losses;105;; Losses;894
;;;;;;;; Conf. interval binomial formula based;0.019040242;; Conf. interval binomial formula based;0.019040242
;;;;;;;; Conf.interval 95% with n;0.019015005;; Conf.interval 95% with n;0.019015005
;;;;;;;; Conf.interval 95% with n-1;0.01902452;; Conf.interval 95% with n-1;0.01902452
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;Goofspiel;;;;
;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;
;;;;;;;;27/03/2014_19.17;;;27/03/2014_19.17;
;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;; Mean;0.378;; Mean;0.622
;;;;;;;; Wins;371;; Wins;615
;;;;;;;; Draws;14;; Draws;14
;;;;;;;; Losses;615;; Losses;371
;;;;;;;; Conf. interval binomial formula based;0.030053646;; Conf. interval binomial formula based;0.030053646
;;;;;;;; Conf.interval 95% with n;0.029829114;; Conf.interval 95% with n;0.029829114
;;;;;;;; Conf.interval 95% with n-1;0.029844039;; Conf.interval 95% with n-1;0.029844039
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;OshiZumo;;;;
;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of RegretMatching;
;;;;;;;;;;;;
;;;;;;;;27/03/2014_18.20;;;27/03/2014_18.20;
