Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;Battle;;;;
version:;GGP_MCTS46;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of SeqUCTDefensive;
Thinking time per move:;2.5s;;;;;;;;;;;;
gogeneral;;;;;;;;;23/05/2014_22.18;;;23/05/2014_22.18;
;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0;; Mean;1
;;;;;;;;; Wins;0;; Wins;1000
;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;; Losses;1000;; Losses;0
;;;;;;;;; Conf. interval binomial formula based;0;; Conf. interval binomial formula based;0
;;;;;;;;; Conf.interval 95% with n;0;; Conf.interval 95% with n;0
;;;;;;;;; Conf.interval 95% with n-1;0;; Conf.interval 95% with n-1;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;27/03/2014_17.45;;;27/03/2014_17.45;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.4115;; Mean;0.5885
;;;;;;;;; Wins;377;; Wins;554
;;;;;;;;; Draws;69;; Draws;69
;;;;;;;;; Losses;554;; Losses;377
;;;;;;;;; Conf. interval binomial formula based;0.03050101;; Conf. interval binomial formula based;0.03050101
;;;;;;;;; Conf.interval 95% with n;0.029394626;; Conf.interval 95% with n;0.029394626
;;;;;;;;; Conf.interval 95% with n-1;0.029409334;; Conf.interval 95% with n-1;0.029409334
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Chinook;;;;
;;;;;;;;;Results in point of view of Exp3:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;28/03/2014_02.43;;;28/03/2014_02.43;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.1795;; Mean;0.8205
;;;;;;;;; Wins;177;; Wins;818
;;;;;;;;; Draws;5;; Draws;5
;;;;;;;;; Losses;818;; Losses;177
;;;;;;;;; Conf. interval binomial formula based;0.023786338;; Conf. interval binomial formula based;0.023786338
;;;;;;;;; Conf.interval 95% with n;0.023685183;; Conf.interval 95% with n;0.023685183
;;;;;;;;; Conf.interval 95% with n-1;0.023697034;; Conf.interval 95% with n-1;0.023697034
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;Goofspiel;;;;
