Directory on gogeneral:;Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments1000games;;;;;;;;Battle;;;;
version:;GGP_MCTS46;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
Thinking time per move:;2.5s;;;;;;;;;;;;
gogeneral;;;;;;;;;23/05/2014_21.36;;;23/05/2014_21.36;
;;;;;;;;; Overall win loss stats;;; Overall win loss stats;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0;; Mean;1
;;;;;;;;; Wins;0;; Wins;1000
;;;;;;;;; Draws;0;; Draws;0
;;;;;;;;; Losses;1000;; Losses;0
;;;;;;;;; Conf. interval binomial formula based;0;; Conf. interval binomial formula based;0
;;;;;;;;; Conf.interval 95% with n;0;; Conf.interval 95% with n;0
;;;;;;;;; Conf.interval 95% with n-1;0;; Conf.interval 95% with n-1;0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;BiddingTicTacToe;;;;
;;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;26/03/2014_18.18;;;26/03/2014_18.18;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.4385;; Mean;0.5615
;;;;;;;;; Wins;417;; Wins;540
;;;;;;;;; Draws;43;; Draws;43
;;;;;;;;; Losses;540;; Losses;417
;;;;;;;;; Conf. interval binomial formula based;0.030755001;; Conf. interval binomial formula based;0.030755001
;;;;;;;;; Conf.interval 95% with n;0.030076119;; Conf.interval 95% with n;0.030076119
;;;;;;;;; Conf.interval 95% with n-1;0.030091168;; Conf.interval 95% with n-1;0.030091168
;;;;;;;;;;;;;
;;;;;;;;;Chinook;;;;
;;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;26/03/2014_23.25;;;26/03/2014_23.25;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.0065;; Mean;0.9935
;;;;;;;;; Wins;6;; Wins;993
;;;;;;;;; Draws;1;; Draws;1
;;;;;;;;; Losses;993;; Losses;6
;;;;;;;;; Conf. interval binomial formula based;0.004980772;; Conf. interval binomial formula based;0.004980772
;;;;;;;;; Conf.interval 95% with n;0.00488341;; Conf.interval 95% with n;0.00488341
;;;;;;;;; Conf.interval 95% with n-1;0.004885853;; Conf.interval 95% with n-1;0.004885853
;;;;;;;;;;;;;
;;;;;;;;;Goofspiel;;;;
;;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
;;;;;;;;;26/03/2014_20.19;;;26/03/2014_20.19;
;;;;;;;;; Games played;1000;; Games played;1000
;;;;;;;;; Mean;0.3075;; Mean;0.6925
;;;;;;;;; Wins;298;; Wins;683
;;;;;;;;; Draws;19;; Draws;19
;;;;;;;;; Losses;683;; Losses;298
;;;;;;;;; Conf. interval binomial formula based;0.028601481;; Conf. interval binomial formula based;0.028601481
;;;;;;;;; Conf.interval 95% with n;0.028280684;; Conf.interval 95% with n;0.028280684
;;;;;;;;; Conf.interval 95% with n-1;0.028294835;; Conf.interval 95% with n-1;0.028294835
;;;;;;;;;;;;;
;;;;;;;;;OshiZumo;;;;
;;;;;;;;;Results in point of view of RegretMatching:;;;Results in point of view of SeqUCTDefensive;
;;;;;;;;;;;;;
