,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Battle,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,,,,,,,,
,version:,GGP_MCTS46,,,,,,,,,,,21/03/2014_19.48,,,21/03/2014_19.48,
,Thinking time per move:,2.5s,,,,,,,,,,, Games played,500,, Games played,500
,gogeneral,,,,,,,,,,,, Mean,0.748,, Mean,0.252
,,,,,,,,,,,,, Wins,248,, Wins,0
,,,,,,,,,,,,, Draws,252,, Draws,252
,,,,,,,,,,,,, Losses,0,, Losses,248
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0380559124,, Conf. interval binomial formula based,0.0380559124
,,,,,,,,,,,,, Conf.interval 95% with n,0.0219127649,, Conf.interval 95% with n,0.0219127649
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0219347106,, Conf.interval 95% with n-1,0.0219347106
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,BiddingTicTacToe,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21/03/2014_13.58,,,21/03/2014_13.58,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.547,, Mean,0.453
,,,,,,,,,,,,, Wins,258,, Wins,211
,,,,,,,,,,,,, Draws,31,, Draws,31
,,,,,,,,,,,,, Losses,211,, Losses,258
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0436328753,, Conf. interval binomial formula based,0.0436328753
,,,,,,,,,,,,, Conf.interval 95% with n,0.0422461621,, Conf.interval 95% with n,0.0422461621
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0422884717,, Conf.interval 95% with n-1,0.0422884717
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Chinook,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21/03/2014_16.45,,,21/03/2014_16.45,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.996,, Mean,0.004
,,,,,,,,,,,,, Wins,498,, Wins,2
,,,,,,,,,,,,, Draws,0,, Draws,0
,,,,,,,,,,,,, Losses,2,, Losses,498
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0055326186,, Conf. interval binomial formula based,0.0055326186
,,,,,,,,,,,,, Conf.interval 95% with n,0.0055326186,, Conf.interval 95% with n,0.0055326186
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0055381596,, Conf.interval 95% with n-1,0.0055381596
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Goofspiel,,,,
,,,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of RegretMatching:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,21/03/2014_15.06,,,21/03/2014_15.06,
,,,,,,,,,,,,, Games played,500,, Games played,500
