,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,,,,,
,version:,GGP_MCTS46,,,,,,,,,,,,
,Thinking time per move:,2.5s,,,,,,,,Battle,,,,
,gogeneral,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,20/03/2014_20.56,,,20/03/2014_20.56,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.743,, Mean,0.257
,,,,,,,,,, Wins,246,, Wins,3
,,,,,,,,,, Draws,251,, Draws,251
,,,,,,,,,, Losses,3,, Losses,246
,,,,,,,,,, Conf. interval binomial formula based,0.0383029336,, Conf. interval binomial formula based,0.0383029336
,,,,,,,,,, Conf.interval 95% with n,0.0224248327,, Conf.interval 95% with n,0.0224248327
,,,,,,,,,, Conf.interval 95% with n-1,0.0224472913,, Conf.interval 95% with n-1,0.0224472913
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,BiddingTicTacToe,,,,
,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,20/03/2014_15.00,,,20/03/2014_15.00,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.518,, Mean,0.482
,,,,,,,,,, Wins,248,, Wins,230
,,,,,,,,,, Draws,22,, Draws,22
,,,,,,,,,, Losses,230,, Losses,248
,,,,,,,,,, Conf. interval binomial formula based,0.0437985233,, Conf. interval binomial formula based,0.0437985233
,,,,,,,,,, Conf.interval 95% with n,0.0428228379,, Conf.interval 95% with n,0.0428228379
,,,,,,,,,, Conf.interval 95% with n-1,0.042865725,, Conf.interval 95% with n-1,0.042865725
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Chinook,,,,
,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,20/03/2014_17.38,,,20/03/2014_17.38,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.998,, Mean,0.002
,,,,,,,,,, Wins,499,, Wins,1
,,,,,,,,,, Draws,0,, Draws,0
,,,,,,,,,, Losses,1,, Losses,499
,,,,,,,,,, Conf. interval binomial formula based,0.003916078,, Conf. interval binomial formula based,0.003916078
,,,,,,,,,, Conf.interval 95% with n,0.003916078,, Conf.interval 95% with n,0.003916078
,,,,,,,,,, Conf.interval 95% with n-1,0.00392,, Conf.interval 95% with n-1,0.00392
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,Goofspiel,,,,
,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of RegretMatching,
,,,,,,,,,,,,,,
,,,,,,,,,,20/03/2014_16.03,,,20/03/2014_16.03,
,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,, Mean,0.049,, Mean,0.951
,,,,,,,,,, Wins,24,, Wins,475
,,,,,,,,,, Draws,1,, Draws,1
,,,,,,,,,, Losses,475,, Losses,24
,,,,,,,,,, Conf. interval binomial formula based,0.0189216658,, Conf. interval binomial formula based,0.0189216658
,,,,,,,,,, Conf.interval 95% with n,0.0188198788,, Conf.interval 95% with n,0.0188198788
,,,,,,,,,, Conf.interval 95% with n-1,0.0188387269,, Conf.interval 95% with n-1,0.0188387269
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,OshiZumo,,,,
