,,,,,,,,,,,,,,,
,,,,,,,,,,,Battle,,,,
,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of Exp3:,
,,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,21/03/2014_20.13,,,21/03/2014_20.13,
,,version:,GGP_MCTS46,,,,,,,, Games played,500,, Games played,500
,,Thinking time per move:,2.5s,,,,,,,, Mean,0.747,, Mean,0.253
,,gogeneral,,,,,,,,, Wins,248,, Wins,1
,,,,,,,,,,, Draws,251,, Draws,251
,,,,,,,,,,, Losses,1,, Losses,248
,,,,,,,,,,, Conf. interval binomial formula based,0.038105848,, Conf. interval binomial formula based,0.038105848
,,,,,,,,,,, Conf.interval 95% with n,0.0220865129,, Conf.interval 95% with n,0.0220865129
,,,,,,,,,,, Conf.interval 95% with n-1,0.0221086326,, Conf.interval 95% with n-1,0.0221086326
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,BiddingTicTacToe,,,,
,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of Exp3:,
,,,,,,,,,,,,,,,
,,,,,,,,,,,22/03/2014_12.05,,,22/03/2014_12.05,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.617,, Mean,0.383
,,,,,,,,,,, Wins,287,, Wins,170
,,,,,,,,,,, Draws,43,, Draws,43
,,,,,,,,,,, Losses,170,, Losses,287
,,,,,,,,,,, Conf. interval binomial formula based,0.0426101476,, Conf. interval binomial formula based,0.0426101476
,,,,,,,,,,, Conf.interval 95% with n,0.0406255569,, Conf.interval 95% with n,0.0406255569
,,,,,,,,,,, Conf.interval 95% with n-1,0.0406662435,, Conf.interval 95% with n-1,0.0406662435
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,Chinook,,,,
,,,,,,,,,,,Results in point of view of DUCB1T:,,,Results in point of view of Exp3:,
,,,,,,,,,,,,,,,
,,,,,,,,,,,21/03/2014_18.47,,,21/03/2014_18.47,
,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,, Mean,0.913,, Mean,0.087
,,,,,,,,,,, Wins,456,, Wins,43
,,,,,,,,,,, Draws,1,, Draws,1
,,,,,,,,,,, Losses,43,, Losses,456
,,,,,,,,,,, Conf. interval binomial formula based,0.0247039321,, Conf. interval binomial formula based,0.0247039321
,,,,,,,,,,, Conf.interval 95% with n,0.0246260565,, Conf.interval 95% with n,0.0246260565
,,,,,,,,,,, Conf.interval 95% with n-1,0.0246507196,, Conf.interval 95% with n-1,0.0246507196
,,,,,,,,,,,,,,,
