,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,Directory on gogeneral:,Java/SimultaneousMoveGames/FinalExperiments/RandomUCT/RealExperiments_version46,,,,,,,,,,Battle,,,,
,,version:,GGP_MCTS46,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,Thinking time per move:,2.5s,,,,,,,,,,20/03/2014_21.32,,,20/03/2014_21.32,
,,gogeneral,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.512,, Mean,0.488
,,,,,,,,,,,,, Wins,120,, Wins,108
,,,,,,,,,,,,, Draws,272,, Draws,272
,,,,,,,,,,,,, Losses,108,, Losses,120
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0438143084,, Conf. interval binomial formula based,0.0438143084
,,,,,,,,,,,,, Conf.interval 95% with n,0.0295766533,, Conf.interval 95% with n,0.0295766533
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0296062744,, Conf.interval 95% with n-1,0.0296062744
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,BiddingTicTacToe,,,,
,,,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20/03/2014_15.53,,,20/03/2014_15.53,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.479,, Mean,0.521
,,,,,,,,,,,,, Wins,213,, Wins,234
,,,,,,,,,,,,, Draws,53,, Draws,53
,,,,,,,,,,,,, Losses,234,, Losses,213
,,,,,,,,,,,,, Conf. interval binomial formula based,0.0437882599,, Conf. interval binomial formula based,0.0437882599
,,,,,,,,,,,,, Conf.interval 95% with n,0.041398151,, Conf.interval 95% with n,0.041398151
,,,,,,,,,,,,, Conf.interval 95% with n-1,0.0414396114,, Conf.interval 95% with n-1,0.0414396114
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Chinook,,,,
,,,,,,,,,,,,,Results in point of view of DuctMax:,,,Results in point of view of DUCB1T:,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,20/03/2014_21.56,,,20/03/2014_21.56,
,,,,,,,,,,,,, Games played,500,, Games played,500
,,,,,,,,,,,,, Mean,0.489,, Mean,0.511
,,,,,,,,,,,,, Wins,239,, Wins,250
,,,,,,,,,,,,, Draws,11,, Draws,11
,,,,,,,,,,,,, Losses,250,, Losses,239
,,,,,,,,,,,,, Conf. interval binomial formula based,0.043816325,, Conf. interval binomial formula based,0.043816325
